time,ax,ay,az,aT
1.0390,-0.0985,0.0546,-0.1643,0.199
1.0400,0.0797,0.0147,-0.0495,0.095
1.0490,-0.0351,-0.0192,0.1530,0.158
1.0590,0.0678,-0.0404,0.1961,0.211
1.0630,0.0844,-0.0718,0.3238,0.342
1.0740,0.0377,-0.0819,0.3058,0.319
1.0840,0.0676,0.0024,0.1593,0.173
1.0880,-0.0015,0.0301,0.1415,0.145
1.1010,0.0132,0.0529,-0.0282,0.061
1.1080,-0.0021,0.0340,-0.1376,0.142
1.1140,0.0007,0.0259,-0.1811,0.183
1.1240,0.0744,-0.0247,-0.2498,0.262
1.1510,0.1400,-0.0809,-0.2359,0.286
1.1550,0.0869,-0.1281,-0.1699,0.230
1.1560,0.0361,-0.0793,-0.1134,0.143
1.1570,0.0459,-0.0139,-0.0848,0.097
1.1790,0.1073,0.0450,-0.1178,0.166
1.1810,0.0901,0.0368,0.0133,0.098
1.1820,0.0393,-0.0020,0.1448,0.150
1.1900,-0.0387,0.0177,0.0528,0.068
1.2000,-0.0727,0.0889,-0.1464,0.186
1.2040,-0.0524,0.0394,-0.1646,0.177
1.2190,-0.0038,0.0147,-0.1470,0.148
1.2240,0.0798,-0.0135,-0.1251,0.149
1.2290,0.1273,0.0253,-0.0753,0.150
1.2390,0.1563,-0.1120,-0.1694,0.256
1.2580,0.1288,-0.0214,0.1284,0.183
1.2590,0.1047,-0.0682,0.1061,0.164
1.2850,0.0753,-0.0188,0.1445,0.164
1.2860,0.0237,0.0524,0.0819,0.100
1.2870,0.0829,0.0405,-0.0841,0.125
1.2890,0.1628,0.0369,-0.2881,0.333
1.3000,0.1606,0.0261,-0.2926,0.335
1.3040,-0.0008,0.0326,-0.2223,0.225
1.3170,-0.1881,0.0906,-0.3441,0.403
1.3250,-0.4063,0.1533,-0.4822,0.649
1.3300,-0.3470,0.1956,-0.2925,0.494
1.3410,-0.1649,0.2192,-0.0574,0.280
1.3510,-0.0005,0.1779,-0.1799,0.253
1.3540,0.1115,0.1864,-0.1743,0.278
1.3640,0.2802,0.1928,-0.1821,0.386
1.3740,0.1195,0.0243,-0.2395,0.269
1.3790,0.0075,0.0095,-0.2893,0.290
1.3910,0.1154,-0.0043,-0.2722,0.296
1.4250,0.2086,-0.0767,-0.0954,0.242
1.4260,0.2150,-0.0546,0.2287,0.319
1.4260,0.2155,-0.0061,0.4462,0.496
1.4270,0.1508,0.0709,0.5176,0.544
1.4300,0.0342,0.1683,0.5965,0.621
1.4390,-0.0129,0.1473,0.6526,0.669
1.4490,0.0574,0.0685,0.5723,0.579
1.4540,-0.0335,-0.0458,0.5809,0.584
1.4700,-0.1216,-0.1106,0.6552,0.676
1.4740,0.1181,-0.1628,0.6534,0.684
1.4790,0.3100,-0.1512,0.3929,0.523
1.4900,0.1521,-0.2004,0.0387,0.255
1.5090,-0.1637,-0.2499,-0.1914,0.355
1.5100,-0.1516,-0.2191,-0.0487,0.271
1.5380,0.0803,-0.1240,0.0525,0.157
1.5380,0.0998,-0.0997,-0.1054,0.176
1.5390,0.0650,-0.1311,-0.1679,0.223
1.5390,0.3225,-0.1103,-0.0722,0.348
1.5440,0.3376,-0.0047,0.0368,0.340
1.5540,0.0084,0.1267,0.0784,0.149
1.5670,-0.2264,0.3043,0.0724,0.386
1.5760,-0.2985,0.3453,-0.0252,0.457
1.5910,-0.2957,0.2667,-0.1603,0.429
1.5910,-0.2073,0.1798,-0.1494,0.312
1.5970,-0.0786,0.0916,0.0186,0.122
1.5990,0.1519,-0.0915,0.2633,0.317
1.6090,0.2102,-0.3296,0.2210,0.449
1.6200,-0.0566,-0.3980,-0.0780,0.409
1.6240,-0.0693,-0.3272,-0.2600,0.424
1.6340,0.3787,-0.1868,-0.3594,0.554
1.6610,0.5422,-0.0288,-0.3505,0.646
1.6620,0.2557,0.0949,-0.2094,0.344
1.6640,0.0645,0.1641,0.0227,0.178
1.6780,0.2038,0.1957,0.0596,0.289
1.6880,0.2451,0.2072,0.0446,0.324
1.6890,0.0424,0.1292,0.1771,0.223
1.6900,-0.3805,-0.0914,-0.0979,0.403
1.7150,-0.7341,-0.3225,-0.4740,0.931
1.7160,-0.1564,-0.3743,-0.0800,0.413
1.7160,0.7280,-0.2844,0.4436,0.899
1.7240,0.6261,-0.2919,0.4235,0.810
1.7350,0.0998,-0.3698,0.1684,0.418
1.7390,0.1147,-0.2840,0.0102,0.306
1.7500,0.1437,-0.1529,-0.0147,0.210
1.7590,-0.0467,-0.0093,0.0614,0.078
1.7670,-0.0474,0.1474,0.3207,0.356
1.7740,-0.0199,0.1866,0.3614,0.407
1.7840,-0.1006,0.1711,0.3010,0.361
1.7890,-0.0923,0.1731,0.2835,0.345
1.8130,-0.1004,0.1507,0.0762,0.196
1.8140,-0.1713,0.1052,-0.4586,0.501
1.8150,-0.2346,0.0904,-1.2314,1.257
1.8270,-0.0683,0.1240,-1.7165,1.722
1.8370,0.2301,0.1859,-1.6908,1.716
1.8390,0.3090,0.1948,-1.2361,1.289
1.8500,0.2372,0.0629,-0.1172,0.272
1.8590,0.0944,-0.0720,0.9296,0.937
1.8650,-0.0471,-0.0164,1.0615,1.063
1.8740,-0.2594,0.0732,0.6990,0.749
1.8840,-0.1885,0.0755,0.3653,0.418
1.8890,0.0741,-0.0216,-0.0926,0.121
1.9000,0.2485,-0.0610,-0.5280,0.587
1.9090,0.3494,0.0285,-0.5718,0.671
1.9140,0.5756,0.0341,-0.5271,0.781
1.9250,0.5572,-0.0466,-0.7788,0.959
1.9650,0.3105,-0.0851,-0.9002,0.956
1.9670,0.3048,-0.1118,-0.3698,0.492
1.9680,0.3577,-0.3036,0.8989,1.014
1.9690,-0.1914,-0.5924,1.9598,2.056
1.9710,-0.6477,-0.4389,1.9938,2.142
1.9910,-0.1784,-0.0081,1.3157,1.328
1.9930,0.1498,0.3035,0.6415,0.725
1.9940,-0.0324,0.3281,-0.1080,0.347
2.0000,-0.1769,0.2795,-0.9725,1.027
2.0120,-0.0164,0.3197,-1.7214,1.751
2.0220,0.2609,0.8439,-1.8907,2.087
2.0250,0.4442,0.0204,-1.4542,1.521
