name,height,steps_per_sec
01-data,170.18,2.7913070722606736
02-data,182.0,2.414180832065613
03-data,167.64,2.295332823259373
04-data,171.18,2.645502645502645
05-data,157.0,1.7857440878519333
06-data,180.0,2.597916718212633
07-data,154.0,1.9964349376114081
08-data,168.0,2.6957811025744705
