time,ax,ay,az,aT
2.0260,-0.0585,-0.1164,-0.1292,0.183
2.0340,-0.0566,-0.0971,-0.0276,0.116
2.0410,-0.0745,-0.0586,0.1132,0.148
2.0540,0.0042,-0.0591,0.2532,0.260
2.0560,0.0045,-0.0597,0.2563,0.263
2.0650,0.0628,-0.0990,0.3368,0.357
2.0730,0.0816,-0.1378,0.2809,0.323
2.0820,0.0809,-0.1181,0.1871,0.236
2.0910,0.0994,-0.1565,0.2299,0.295
2.1030,0.1362,-0.1936,0.1370,0.274
2.1060,0.1335,-0.1912,0.1419,0.273
2.1160,0.0537,-0.1696,0.2040,0.271
2.1250,0.0521,-0.1287,0.2849,0.317
2.1320,0.0501,-0.0688,0.2885,0.301
2.1430,0.0673,-0.0484,0.3511,0.361
2.1490,0.1808,-0.0088,0.4519,0.487
2.1590,0.1769,-0.0860,0.4157,0.460
2.1650,0.1736,-0.0851,0.4177,0.460
2.1750,0.2095,-0.1426,0.5346,0.592
2.1820,0.1292,-0.0255,0.4752,0.493
2.1940,0.0892,-0.0267,0.4166,0.427
2.1990,0.0502,-0.0476,0.3788,0.385
2.2090,0.0703,-0.1076,0.3421,0.365
2.2160,0.0907,-0.1868,0.2869,0.354
2.2250,0.0912,-0.1874,0.2911,0.358
2.2330,0.1495,-0.1876,0.3536,0.427
2.2470,0.0713,-0.2264,0.4347,0.495
2.2520,0.0325,-0.2449,0.4956,0.554
2.2610,-0.0257,-0.2432,0.5755,0.625
2.2670,0.0709,-0.1830,0.4819,0.520
2.2750,0.0686,-0.1811,0.4688,0.507
2.2840,0.0661,-0.1793,0.4772,0.514
2.2910,0.0831,-0.3133,0.4295,0.538
2.3040,0.1967,-0.4650,0.1518,0.527
2.3080,0.3482,-0.5385,0.1896,0.669
2.3180,0.5572,-0.8454,0.3681,1.077
2.3250,0.7459,-1.1320,0.4371,1.424
2.3360,0.7425,-1.1302,0.4802,1.435
2.3420,0.4737,-1.6581,0.5019,1.796
2.3520,0.5255,-2.1107,0.6387,2.267
2.3590,0.6859,-2.4349,0.7681,2.644
2.3680,0.6050,-2.5340,0.7433,2.709
2.3750,0.8180,-2.5558,0.6959,2.772
2.3860,1.2588,-2.4696,0.3946,2.800
2.3930,1.3454,-2.5553,0.4473,2.922
2.4010,1.0492,-2.4099,-0.1391,2.632
2.4110,0.2288,-2.0471,-0.8288,2.220
2.4180,-1.6697,-3.2402,0.2421,3.653
2.4260,-1.8931,-3.8047,1.1279,4.397
2.4340,-1.8033,-3.9698,1.7617,4.703
2.4420,-0.6121,-3.7807,2.3492,4.493
2.4510,-0.4330,-3.9056,2.3550,4.581
2.4620,0.3693,-3.9778,2.6460,4.792
2.4680,0.7802,-4.2531,2.6393,5.066
2.4790,0.9002,-4.6520,1.7870,5.064
2.4850,0.7538,-3.9017,1.1228,4.129
2.4930,-0.5554,0.2968,2.0874,2.180
2.5010,-2.0076,4.2091,1.1875,4.812
2.5110,-1.8535,4.1269,1.2045,4.682
2.5180,-2.3758,6.8388,-0.2229,7.243
2.5360,-3.1058,5.4578,-0.2364,6.284
2.5400,-2.8463,2.5885,-0.2854,3.858
2.5430,-2.0374,0.3643,-0.6354,2.165
2.5520,-1.4642,-1.1465,-0.7917,2.021
2.5620,-1.6096,-1.0589,-0.7023,2.051
2.5680,-0.5946,-1.1301,-0.3574,1.326
2.5780,0.8457,-0.0649,-0.4026,0.939
2.5850,2.7255,4.0138,-0.8372,4.923
2.5940,3.5865,8.0108,-0.7128,8.806
2.6020,2.6733,9.4479,-0.1119,9.819
2.6110,0.7160,7.2332,1.2657,7.378
2.6200,0.7307,7.2086,1.2676,7.356
2.6270,-1.3830,4.2072,1.3244,4.622
2.6380,-2.7103,1.7423,0.4571,3.254
2.6440,-2.1422,0.5198,-0.2072,2.214
2.6540,-1.2075,0.0847,-0.4478,1.291
2.6610,-0.4698,-0.0769,-0.0542,0.479
2.6730,-0.0058,-0.2201,0.3507,0.414
2.6790,0.0080,-0.2265,0.3645,0.429
2.6860,0.4326,-0.2713,0.5418,0.745
2.6940,0.5433,-0.2760,0.6093,0.862
2.7040,0.4175,-0.2011,0.6801,0.823
2.7120,0.3084,-0.0464,0.6320,0.705
2.7200,0.1194,0.0897,0.4267,0.452
2.7270,-0.0312,0.1088,0.3201,0.340
2.7360,-0.0263,0.1091,0.3502,0.368
2.7440,-0.2379,0.1103,0.1840,0.320
2.7530,-0.4114,0.1710,0.1352,0.466
2.7630,-0.4682,0.2322,0.0852,0.530
2.7700,-0.5256,0.2547,0.1916,0.615
2.7810,-0.4467,0.2580,0.1412,0.535
2.7860,-0.4471,0.2618,0.1680,0.545
2.8070,-0.4871,0.2657,0.1733,0.581
2.8120,-0.5469,0.3476,0.0190,0.648
2.8140,-0.6455,0.2921,-0.1956,0.735
2.8210,-0.5868,0.2361,-0.4314,0.766
2.8280,-0.5667,0.2189,-0.7077,0.933
2.8370,-0.5254,0.1810,-1.0232,1.164
2.8450,-0.5216,0.1810,-1.0078,1.149
2.8540,-0.3783,0.1208,-1.2080,1.272
2.8720,-0.1929,0.0002,-1.2507,1.265
2.8730,0.1136,-0.0833,-1.1174,1.126
2.8790,0.3258,-0.1302,-0.8696,0.938
2.8870,0.7351,-0.2768,-0.5689,0.970
2.8960,1.1244,-0.3458,-0.2162,1.196
2.9050,1.1410,-0.3566,-0.2204,1.216
2.9130,1.4498,-0.5042,0.0059,1.535
2.9310,1.6992,-0.6323,-0.0845,1.815
2.9320,1.7543,-0.7212,-0.2868,1.918
2.9380,1.7913,-0.7511,-0.4431,1.992
2.9480,1.9275,-0.8002,-0.4551,2.136
2.9550,1.9463,-0.9655,-0.3807,2.206
2.9630,2.0421,-0.9720,-0.3587,2.290
2.9720,2.2137,-1.1133,0.0219,2.478
2.9790,2.4019,-1.1740,0.4824,2.717
2.9890,2.3920,-1.0963,0.6291,2.705
2.9960,1.9886,-0.8220,0.7741,2.287
3.0050,1.5820,-0.4684,0.6019,1.756
3.0130,1.5840,-0.4661,0.6247,1.765
3.0220,1.1726,-0.1881,0.2189,1.208
3.0300,1.0343,-0.0268,-0.0863,1.038
3.0380,0.9930,-0.0801,-0.5261,1.127
3.0470,0.9708,-0.1720,-0.9847,1.393
3.0560,0.9678,-0.3043,-1.1583,1.540
3.0650,1.0617,-0.3394,-1.2418,1.669
3.0800,1.0572,-0.3367,-1.2352,1.660
3.0820,1.1713,-0.3751,-1.0984,1.649
3.0890,1.2279,-0.2382,-0.7281,1.447
3.0990,1.2854,-0.0434,-0.1625,1.296
3.1050,1.4812,0.2097,0.3861,1.545
3.1150,1.4438,0.2866,0.7464,1.650
3.1220,1.3515,0.2453,0.8201,1.600
3.1310,1.3614,0.2418,0.8384,1.617
3.1380,1.2169,0.1794,0.8223,1.480
3.1480,1.2325,0.2527,1.0817,1.659
3.1560,1.3893,0.5981,1.5577,2.171
3.1640,1.6869,0.9809,2.0377,2.821
3.1730,1.9494,1.2249,2.5817,3.459
3.1810,1.9782,1.2144,2.6987,3.560
3.1890,2.2395,0.9893,2.7337,3.670
3.1980,2.3395,0.4317,2.5217,3.467
3.2060,2.1799,-0.3219,2.5264,3.352
3.2190,1.9961,-0.9780,2.6081,3.427
3.2240,1.9479,-1.3999,2.5589,3.507
3.2340,1.8431,-1.4890,2.4119,3.381
3.2430,1.8583,-1.4997,2.3876,3.377
3.2480,1.4045,-1.2552,2.2316,2.920
3.2590,1.0284,-0.8136,2.1001,2.476
3.2650,0.7096,-0.3329,1.6151,1.795
3.2750,0.5603,0.1290,0.7694,0.960
3.2810,0.8697,0.6891,0.0200,1.110
3.2910,1.3027,1.1510,-0.4453,1.794
3.2990,1.2735,1.1434,-0.5466,1.797
3.3070,1.5158,1.0970,-0.6416,1.978
3.3150,1.4439,0.6233,-0.7480,1.742
3.3280,1.2709,0.2333,-0.8250,1.533
3.3320,1.2074,0.3186,-0.5551,1.367
3.3410,0.8445,0.9143,0.0613,1.246
3.3490,0.1951,1.5636,0.2190,1.591
3.3580,0.1710,1.5594,0.0640,1.570
3.3650,-0.4645,1.8649,-0.3363,1.951
3.3740,-0.7316,2.1462,-0.7341,2.383
3.3820,-0.8847,2.2257,-1.1316,2.649
3.3910,-0.9228,2.2194,-1.2457,2.707
3.4020,-1.1355,2.1246,-0.9593,2.593
3.4080,-1.0610,1.7695,-0.5800,2.143
3.4180,-1.5281,1.7056,-0.6068,2.369
3.4240,-1.8558,1.4068,0.1373,2.333
3.4350,-2.3032,1.0325,0.3633,2.550
3.4410,-2.3662,0.7422,0.4748,2.525
3.4500,-2.0828,0.4565,0.6386,2.226
3.4580,-1.9963,0.0747,0.2462,2.013
3.4760,-1.9265,0.0455,0.2388,1.942
3.4770,-1.8135,-0.1412,0.5940,1.914
3.4830,-2.3441,-0.2887,0.2662,2.377
3.4930,-2.5627,-0.1995,0.1517,2.575
3.5000,-2.4362,-0.1657,0.2637,2.456
3.5080,-2.5902,-0.6186,-0.0511,2.664
3.5180,-3.1381,-1.1085,-0.2409,3.337
3.5250,-3.0846,-1.1246,-0.2787,3.295
3.5350,-3.4511,-1.5284,-0.1231,3.776
3.5430,-3.3600,-1.8088,-0.3170,3.829
3.5510,-2.8510,-1.8881,-0.9127,3.539
3.5590,-1.7634,-1.9057,-1.5979,3.049
3.5670,-1.1675,-2.0405,-1.7516,2.932
3.5770,-0.9201,-2.0203,-1.3777,2.613
3.5830,-0.9045,-2.0209,-1.3986,2.619
3.6050,-0.5146,-1.7288,-0.9278,2.028
3.6070,-0.3594,-1.5746,-0.7060,1.763
3.6100,-0.0861,-1.3429,-0.4139,1.408
3.6180,-0.0675,-1.2881,-0.2196,1.308
3.6260,-0.3044,-1.5071,0.0495,1.538
3.6350,-0.2885,-1.8226,0.1580,1.852
3.6430,-0.5312,-1.7834,0.2214,1.874
3.6510,-0.6400,-1.9968,0.1378,2.101
3.6600,-0.7501,-1.9933,0.4131,2.169
