time,ax,ay,az,aT
0.7080,0.0385,0.0057,0.0047,0.039
0.7140,0.1445,0.0427,-0.2670,0.307
0.7220,0.2086,0.1003,-0.5167,0.566
0.7300,0.1517,0.1414,-0.5524,0.590
0.7390,0.1311,0.1486,-0.5518,0.586
0.7470,-0.0640,0.2762,-0.4180,0.505
0.7550,-0.3533,0.2318,-0.1909,0.464
0.7630,-0.9673,0.1898,0.5351,1.122
0.7720,-0.6671,0.4173,0.8066,1.127
0.7820,-0.4306,0.2668,0.5166,0.723
0.7890,-0.2287,0.1295,0.0613,0.270
0.8050,-0.2361,0.1257,0.0597,0.274
0.8050,-0.0680,0.1014,-0.3859,0.405
0.8160,-0.0774,0.1564,-0.6521,0.675
0.8220,-0.2821,0.2933,-0.7045,0.814
0.8370,-0.4860,0.3380,-0.5659,0.819
0.8390,-0.6314,0.3887,-0.2584,0.785
0.8470,-0.6431,0.4049,-0.2672,0.806
0.8560,-0.8131,0.4401,0.1106,0.931
0.8640,-0.7683,0.3361,0.2718,0.882
0.8720,-0.6046,0.2480,0.3755,0.754
0.8810,-0.4576,0.1161,0.3844,0.609
0.8890,-0.3451,0.0957,0.3002,0.467
0.8970,-0.3061,0.1088,0.1041,0.341
0.9060,-0.3052,0.0974,0.1064,0.338
0.9140,-0.2676,0.1616,-0.0647,0.319
0.9230,-0.2336,0.1282,-0.1565,0.309
0.9360,-0.1839,0.0567,-0.1701,0.257
0.9420,-0.2157,-0.0126,-0.1651,0.272
0.9480,-0.3060,-0.0599,-0.0837,0.323
0.9590,-0.4688,-0.0875,0.0553,0.480
0.9650,-0.4692,-0.0960,0.0579,0.482
0.9740,-0.4662,-0.1633,0.0613,0.498
0.9810,-0.2699,-0.1541,0.2202,0.381
0.9960,-0.1562,-0.1877,0.1850,0.306
0.9990,0.1280,-0.2442,0.0551,0.281
1.0090,0.2912,-0.2263,-0.0133,0.369
1.0150,0.2228,-0.1927,-0.2336,0.376
1.0240,0.2196,-0.2191,-0.2170,0.379
1.0320,0.2788,-0.1873,-0.4515,0.563
1.0420,0.1839,-0.2319,-0.4123,0.508
1.0490,-0.0257,-0.2156,-0.2005,0.296
1.0590,-0.1383,-0.2180,-0.0503,0.263
1.0660,-0.1932,-0.2223,0.2726,0.401
1.0740,-0.1883,-0.2888,0.5353,0.637
1.0830,-0.1768,-0.3205,0.5462,0.657
1.0910,-0.2158,-0.4170,0.8903,1.007
1.0990,-0.3831,-0.5605,1.3518,1.513
1.1080,-0.5833,-0.6390,1.8536,2.046
1.1180,-0.6070,-0.7203,2.2061,2.399
1.1240,-0.4576,-0.7448,2.2373,2.402
1.1340,-0.4345,-0.8780,2.3083,2.508
1.1410,-0.1775,-0.9527,2.4520,2.637
1.1500,0.1981,-1.1056,2.4152,2.664
1.1590,0.3391,-1.3988,2.1829,2.615
1.1670,0.2405,-1.7062,1.5751,2.335
1.1760,0.2090,-1.7083,0.9805,1.981
1.1900,0.3174,-1.4602,0.5332,1.587
1.1910,0.2943,-1.6792,0.6984,1.842
1.2060,0.6782,-1.2643,0.5534,1.538
1.2080,0.7901,-1.1312,0.6234,1.514
1.2170,0.2013,-1.4530,0.9243,1.734
1.2260,-0.1301,-1.5870,1.5948,2.254
1.2330,-0.3643,-1.5195,2.2270,2.720
1.2420,-0.5667,-1.5488,2.3741,2.891
1.2500,-0.6066,-1.7197,2.5517,3.136
